Task,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
instantiate_hyperparameters,2024-05-29T14:28:19,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.0170376300811767,1.918354984295036e-08,1.1284625934824556e-06,22.5,0.0,0.1405978202819824,1.062124967575104e-07,0.0,1.1586207004179119e-10,1.0632835882755701e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
instantiate_grid_search_parameters,2024-05-29T14:28:19,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.0160300731658935,1.8061637859483008e-08,1.2041773286163151e-06,22.5,0.0,0.1405978202819824,9.999275207519437e-08,0.0,1.1720291534328763e-10,1.00109954990536e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
grid_search_360_fits_cv_5_folds,2024-05-29T14:35:29,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,429.6926953792572,0.0004952184582027,1.1524943938010194e-06,22.5,2.3320363549008267e-05,0.49749755859375,0.0026855793863534,2.777779999999969e-09,5.925736519691175e-05,0.0027448395293304,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
cross_validate_neural_network_10_folds,2024-05-29T14:35:43,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,14.787756204605104,1.6999510877572415e-05,1.1495663578215373e-06,22.5,0.0325831719979475,0.4978594779968261,9.242347925901432e-05,-1.2611121199999996e-07,1.925552490694328e-06,9.42229205377087e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
save_cross_validated_scores,2024-05-29T14:35:44,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.0210018157958984,4.2347305271358416e-08,1.924933586449624e-06,22.5,0.0,0.4979181289672851,2.3126006126403253e-07,0.0,3.457679047377468e-09,2.3471774031119322e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
predict_test_data,2024-05-29T14:35:44,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,0.0209965705871582,2.3920948358951456e-08,1.1390330860616851e-06,22.5,0.0,0.4981241226196289,1.3147890567770384e-07,0.0,1.1073571062121966e-09,1.325862627838889e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
save_model_and_report,2024-05-29T14:35:46,neural_network,baa11a1e-2cac-436e-89df-bdec97245afa,2.9641685485839844,3.3802993984647723e-06,1.1403828210817458e-06,22.5,0.1812888768689423,0.4979524612426757,1.8526042997837108e-05,-1.2111120799999989e-07,3.310003148573057e-07,1.8735932104694403e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
get_cli_args,2024-05-29T15:38:36,query_expansion,071402d2-b610-4b23-8f43-84777a656126,0.0159997940063476,1.805277178366264e-08,1.2033566883858578e-06,22.5,0.0,0.0518431663513183,1.0000318288803101e-07,0.0,5.763024404359384e-11,1.000608131320746e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_model_name_and_paths,2024-05-29T15:38:36,query_expansion,071402d2-b610-4b23-8f43-84777a656126,0.0160014629364013,1.9178776654163552e-08,1.1281185262904217e-06,22.5,0.0,0.0518460273742675,1.0625869035720825e-07,0.0,4.321219222447326e-11,1.0630190254943277e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_gensim_model,2024-05-29T15:38:51,query_expansion,071402d2-b610-4b23-8f43-84777a656126,14.457195043563845,1.6207474241571356e-05,1.1210663798797492e-06,22.5,0.2392513226780978,0.1003518104553222,9.035744667053224e-05,-9.027785e-07,3.782434101934011e-07,8.983291158072562e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
